date,exp_name,nultipier,changepoint,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
3/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3b,,0.210,0.229,0.134,0.199,0.178,0.177,0.253,0.314,0.277,0.267,0.259
3/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,3,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/22/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/23/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/24/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/25/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/26/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/27/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/28/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/29/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/30/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
3/31/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/1/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/2/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/3/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/4/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/5/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/6/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/7/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/8/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/9/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/10/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/11/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/12/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/13/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/14/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/15/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/16/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/17/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/18/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/19/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3c,,0.118,0.105,0.107,0.089,0.118,0.090,0.068,0.094,0.093,0.098,0.092
4/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_4,4,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/22/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
